,Unnamed: 0,id_seg,id_cell,id_par,id_colony,id_d1,id_d2,id_sib,frames,new_pole,old_pole,edges,length,width,area,perimeter,fluo1,fluo2,fluo3,x_pos,y_pos,generation,age,strain,movie_name,replicate
0,0,0,0,-1,0,1,69,-1,0,[319 413],[314 448],,46.68619155883789,10.466870307922363,391.0,34,314.31065759637187,519.5079365079365,812.1428571428571,430.6190476190476,316.5487528344671,0.0,0,5_PA14,5_PA14_TL_01_21_s2,0
1,1,0,0,-1,0,1,69,-1,1,[324 393],[320 433],,48.47944641113281,10.490997314453123,401.5,33,325.5969162995595,532.1035242290749,847.4185022026431,414.66299559471366,322.1762114537445,0.0,1,5_PA14,5_PA14_TL_01_21_s2,0
2,2,0,0,-1,0,1,69,-1,2,[328 378],[325 417],,50.28255844116211,10.397738456726074,430.5,29,330.18930041152265,548.2942386831276,867.3847736625514,398.2716049382716,326.7366255144033,0.0,2,5_PA14,5_PA14_TL_01_21_s2,0
3,3,0,0,-1,0,1,69,-1,3,[332 364],[330 406],,53.0,10.0,427.0,22,339.41649484536083,555.9587628865979,893.6824742268042,384.7092783505155,331.35051546391753,0.0,3,5_PA14,5_PA14_TL_01_21_s2,0
4,4,0,0,-1,0,1,69,-1,4,[334 351],[330 399],,58.39079284667969,10.576555252075195,484.0,36,345.0769230769231,563.2252747252747,905.96336996337,376.456043956044,332.55860805860806,0.0,4,5_PA14,5_PA14_TL_01_21_s2,0
5,5,0,0,-1,0,1,69,-1,5,[333 348],[327 399],,61.38888549804688,10.903047561645508,501.5,40,349.5388692579505,564.3745583038869,911.5848056537102,372.1272084805653,330.64664310954066,0.0,5,5_PA14,5_PA14_TL_01_21_s2,0
6,6,0,0,-1,0,1,69,-1,6,[330 340],[325 393],,64.48717498779297,10.747861862182615,499.5,50,359.07760141093473,566.4867724867725,923.3439153439152,368.1322751322752,328.2204585537919,0.0,6,5_PA14,5_PA14_TL_01_21_s2,0
7,7,0,1,0,0,2,109,69,7,[326 373],[321 393],,31.85598373413086,9.807689666748049,250.0,28,369.4666666666666,560.4421052631579,901.2912280701754,383.5719298245614,322.99649122807017,1.0,0,5_PA14,5_PA14_TL_01_21_s2,0
8,8,0,1,0,0,2,109,69,8,[319 373],[315 394],,33.799705505371094,9.758074760437012,263.5,28,374.53,561.4433333333334,917.0466666666666,383.33,316.67,1.0,1,5_PA14,5_PA14_TL_01_21_s2,0
9,9,0,1,0,0,2,109,69,9,[316 369],[311 393],,36.84248733520508,9.78990650177002,288.5,33,392.9481707317073,566.060975609756,921.2682926829268,381.7317073170732,312.6707317073171,1.0,2,5_PA14,5_PA14_TL_01_21_s2,0
