,Unnamed: 0,id_seg,id_cell,id_par,id_colony,id_d1,id_d2,id_sib,frames,new_pole,old_pole,edges,length,width,area,perimeter,fluo1,fluo2,fluo3,x_pos,y_pos,generation,age,strain,movie_name,replicate
0,0,0,0,-1,0,1,14,-1,0,[552 491],[518 451],,61.06810760498047,9.62231159210205,475.5,42,934.1363636363636,432.86742424242425,559.5625,471.50189393939394,534.4507575757576,0.0,0,6_PAK,6_PAK_TL_01_26_s2,0
1,1,0,0,-1,0,1,14,-1,1,[556 478],[521 435],,64.02242279052734,9.643210411071776,498.0,55,949.8592057761732,442.88808664259926,567.6696750902527,457.2328519855596,538.1985559566787,0.0,1,6_PAK,6_PAK_TL_01_26_s2,0
2,2,0,0,-1,0,1,14,-1,2,[563 467],[524 420],,69.0250244140625,9.541216850280762,512.0,55,962.6497373029772,448.0858143607706,571.0420315236428,443.5709281961471,542.1541155866901,0.0,2,6_PAK,6_PAK_TL_01_26_s2,0
3,3,0,0,-1,0,1,14,-1,3,[569 461],[527 407],,75.60417175292969,9.485567092895508,543.5,66,953.7027914614122,451.3037766830871,563.9967159277504,433.4712643678161,546.3891625615763,0.0,3,6_PAK,6_PAK_TL_01_26_s2,0
4,4,0,0,-1,0,1,14,-1,4,[572 457],[529 399],,80.98778533935547,9.670183181762695,612.5,75,940.2532942898976,450.0351390922401,552.4319180087848,427.7994143484627,550.385065885798,0.0,4,6_PAK,6_PAK_TL_01_26_s2,0
5,5,0,0,-1,0,1,14,-1,5,[567 455],[524 393],,84.62320709228516,10.07244110107422,635.0,88,922.4112676056338,452.2521126760564,550.5901408450704,424.0661971830986,545.8985915492958,0.0,5,6_PAK,6_PAK_TL_01_26_s2,0
6,6,0,1,0,0,2,27,14,6,[543 417],[524 389],,43.54396057128906,9.152552604675291,329.0,49,893.7324324324325,459.0864864864865,548.6405405405405,404.0351351351352,533.3594594594595,1.0,0,6_PAK,6_PAK_TL_01_26_s2,0
7,7,0,1,0,0,2,27,14,7,[540 417],[520 386],,44.94437026977539,9.49661350250244,340.5,50,906.6788511749348,460.7650130548303,550.6005221932115,401.4908616187989,529.3577023498694,1.0,1,6_PAK,6_PAK_TL_01_26_s2,0
8,8,0,1,0,0,2,27,14,8,[530 418],[510 384],,49.24401473999024,9.968645095825195,386.0,60,885.9538106235566,461.4780600461894,533.0854503464203,401.891454965358,519.5704387990762,1.0,2,6_PAK,6_PAK_TL_01_26_s2,0
9,9,0,1,0,0,2,27,14,9,[527 418],[507 381],,51.93553924560547,10.03359317779541,412.5,73,936.8596112311016,461.41900647948165,532.4125269978401,398.695464362851,515.4946004319654,1.0,3,6_PAK,6_PAK_TL_01_26_s2,0
10,10,0,1,0,0,2,27,14,10,[521 416],[506 372],,55.68585968017578,10.539910316467283,439.0,73,967.8165322580644,461.8165322580645,528.0100806451613,394.8729838709677,512.6491935483871,1.0,4,6_PAK,6_PAK_TL_01_26_s2,0
11,11,0,1,0,0,2,27,14,11,[518 418],[508 372],,58.463409423828125,10.487804412841797,474.0,62,969.1532710280374,462.6971962616822,525.6448598130842,394.5514018691589,511.9439252336449,1.0,5,6_PAK,6_PAK_TL_01_26_s2,0
12,12,0,1,0,0,2,27,14,12,[515 424],[505 370],,62.31948471069336,9.91254425048828,483.0,55,967.9744525547444,462.4616788321168,529.5456204379562,396.4543795620438,509.2098540145985,1.0,6,6_PAK,6_PAK_TL_01_26_s2,0
13,13,0,2,1,0,3,43,27,13,[507 391],[504 369],,30.405593872070312,9.899495124816896,240.0,28,965.2518248175182,465.8029197080292,528.3357664233577,378.7262773722628,504.55474452554745,2.0,0,6_PAK,6_PAK_TL_01_26_s2,0
14,14,0,2,1,0,3,43,27,14,[506 388],[504 367],,33.2342414855957,9.850868225097656,259.5,31,945.0574324324324,466.3918918918919,526.9932432432432,377.4527027027027,504.1993243243243,2.0,1,6_PAK,6_PAK_TL_01_26_s2,0
15,15,0,2,1,0,3,43,27,15,[503 391],[502 369],,35.16799545288086,10.040074348449709,285.5,27,926.7630769230768,469.7784615384616,526.483076923077,380.32307692307694,502.5384615384616,2.0,2,6_PAK,6_PAK_TL_01_26_s2,0
16,16,0,2,1,0,3,43,27,16,[504 392],[503 367],,38.11554718017578,10.140003204345703,303.5,30,940.8057971014492,467.4289855072464,526.0115942028986,379.8985507246377,503.16521739130434,2.0,3,6_PAK,6_PAK_TL_01_26_s2,0
17,17,0,2,1,0,3,43,27,17,[505 398],[503 368],,40.17747497558594,9.711774826049805,319.5,23,894.32782369146,473.168044077135,529.8347107438017,382.07438016528926,503.8154269972452,2.0,4,6_PAK,6_PAK_TL_01_26_s2,0
18,18,0,2,1,0,3,43,27,18,[501 399],[498 369],,43.170875549316406,9.74154567718506,346.5,22,842.3969465648855,480.13231552162847,534.9872773536896,383.2188295165394,498.8931297709924,2.0,5,6_PAK,6_PAK_TL_01_26_s2,0
19,19,0,2,1,0,3,43,27,19,[499 403],[496 368],,47.25757598876953,9.932002067565918,368.0,29,793.3588516746412,487.35406698564594,533.165071770335,385.85645933014354,496.4688995215311,2.0,6,6_PAK,6_PAK_TL_01_26_s2,0
20,20,0,2,1,0,3,43,27,20,[500 405],[497 367],,51.20560836791992,9.806578636169434,387.5,31,739.1587301587301,486.81179138322,532.9569160997733,386.2018140589569,497.1723356009071,2.0,7,6_PAK,6_PAK_TL_01_26_s2,0
21,21,0,2,1,0,3,43,27,21,[499 406],[497 367],,53.13530349731445,9.807623863220217,412.5,32,664.3006396588486,492.46695095948826,537.2750533049041,386.0852878464819,497.1918976545842,2.0,8,6_PAK,6_PAK_TL_01_26_s2,0
22,22,0,3,2,0,4,107,43,22,[495 375],[495 363],,27.0,9.0,188.0,21,605.0138248847926,496.59447004608296,539.9907834101382,368.4746543778802,494.4654377880185,3.0,0,6_PAK,6_PAK_TL_01_26_s2,0
23,23,0,3,2,0,4,107,43,23,[494 378],[495 364],,27.0,8.0,195.5,14,569.6460176991151,499.1902654867257,547.0840707964602,371.6946902654867,494.1592920353982,3.0,1,6_PAK,6_PAK_TL_01_26_s2,0
24,24,0,3,2,0,4,107,43,24,[497 377],[498 360],,28.0,9.0,212.5,19,510.9303278688525,507.9754098360656,547.0286885245902,368.5655737704918,496.84016393442624,3.0,2,6_PAK,6_PAK_TL_01_26_s2,0
25,25,0,3,2,0,4,107,43,25,[495 377],[498 358],,30.37872314453125,9.52256202697754,226.5,30,405.5346153846154,508.9,547.7,368.9653846153846,496.30384615384617,3.0,3,6_PAK,6_PAK_TL_01_26_s2,0
26,26,0,3,2,0,4,107,43,26,[495 381],[498 361],,32.17966842651367,9.512968063354492,249.0,22,337.77543859649126,513.9508771929825,546.7122807017544,371.6561403508772,495.9438596491228,3.0,4,6_PAK,6_PAK_TL_01_26_s2,0
27,27,0,3,2,0,4,107,43,27,[494 380],[504 354],,36.68737411499024,9.448047637939451,274.5,47,324.4376996805112,511.6517571884984,536.4121405750799,368.40575079872207,497.1725239616613,3.0,5,6_PAK,6_PAK_TL_01_26_s2,0
