,Unnamed: 0,id_seg,id_cell,id_par,id_colony,id_d1,id_d2,id_sib,frames,new_pole,old_pole,edges,length,width,area,perimeter,fluo1,fluo2,fluo3,x_pos,y_pos,generation,age,strain,movie_name,replicate
0,0,0,0,-1,0,1,119,-1,0,[254 582],[241 594],,28.28427124023437,9.192388534545898,214.5,19,1602.3842975206612,553.9752066115702,1328.8636363636365,587.6570247933885,247.93801652892563,0.0,0,UJP3428,UJP3428_TL_PseudoMutants_D11optScar_01_11,0
1,1,0,0,-1,0,1,119,-1,1,[257 580],[244 594],,28.991378784179688,9.192387580871582,224.0,18,1604.7619047619048,561.3095238095239,1361.4444444444443,587.0198412698413,250.6746031746032,0.0,1,UJP3428,UJP3428_TL_PseudoMutants_D11optScar_01_11,0
2,2,0,0,-1,0,1,119,-1,2,[260 577],[246 591],,29.69848251342773,9.899495124816896,237.0,27,1619.2105263157894,567.3345864661654,1380.9774436090229,584.0526315789474,253.2706766917293,0.0,2,UJP3428,UJP3428_TL_PseudoMutants_D11optScar_01_11,0
3,3,0,0,-1,0,1,119,-1,3,[257 576],[245 592],,31.61791229248047,10.261953353881836,254.5,34,1649.7727272727273,565.7972027972028,1383.9685314685314,583.1293706293707,252.0664335664336,0.0,3,UJP3428,UJP3428_TL_PseudoMutants_D11optScar_01_11,0
4,4,0,0,-1,0,1,119,-1,4,[256 576],[243 593],,32.11793518066406,10.175979614257812,259.0,40,1696.494845360825,570.7491408934708,1396.9621993127148,584.0343642611684,250.11340206185568,0.0,4,UJP3428,UJP3428_TL_PseudoMutants_D11optScar_01_11,0
5,5,0,0,-1,0,1,119,-1,5,[252 578],[238 597],,33.819557189941406,10.412863731384276,282.5,37,1663.120253164557,569.6898734177215,1379.0443037974685,586.8101265822785,246.1139240506329,0.0,5,UJP3428,UJP3428_TL_PseudoMutants_D11optScar_01_11,0
6,6,0,0,-1,0,1,119,-1,6,[252 577],[237 599],,35.643516540527344,10.241806983947754,282.5,43,1672.660377358491,564.8553459119497,1367.62893081761,586.5786163522013,245.44025157232704,0.0,6,UJP3428,UJP3428_TL_PseudoMutants_D11optScar_01_11,0
7,7,0,0,-1,0,1,119,-1,7,[252 576],[235 601],,37.88076400756836,10.252851486206056,301.5,46,1728.0678466076697,574.9380530973451,1429.0324483775812,587.4395280235988,244.35693215339236,0.0,7,UJP3428,UJP3428_TL_PseudoMutants_D11optScar_01_11,0
8,8,0,0,-1,0,1,119,-1,8,[251 576],[234 601],,39.19497680664063,10.294881820678713,311.5,48,1752.1028571428571,575.5114285714286,1442.0,586.4485714285714,244.54,0.0,8,UJP3428,UJP3428_TL_PseudoMutants_D11optScar_01_11,0
9,9,0,0,-1,0,1,119,-1,9,[253 575],[237 599],,40.11134338378906,10.448516845703123,332.5,49,1740.8225806451612,578.8548387096774,1438.3037634408602,586.2284946236559,246.1263440860215,0.0,9,UJP3428,UJP3428_TL_PseudoMutants_D11optScar_01_11,0
