,uni_par_id,strain,movie_name,replicate,id_colony,id_par,frames,generation,age,cdg_dh,cdg_dl,cdg_norm_dh,cdg_norm_dl,len_dh,len_dl,idc_dh,idc_dl,rel_cdg_hl
0,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,36,2.0,0,701.0155440414508,725.6331658291457,1.0,1.0351170840603205,27.0,29.147117614746094,582,151,1.0351170840603205
1,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,37,2.0,1,687.8984771573604,716.688995215311,0.9812884792704186,1.0223582077559945,27.0,30.23116111755371,582,151,1.0418528591267178
2,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,38,2.0,2,681.0507614213197,706.6547085201794,0.9715201998160679,1.0080442787990378,29.0,31.60902976989746,582,151,1.0375947705357902
3,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,39,2.0,3,680.3592233009708,708.4889867841409,0.9705337193788979,1.0106608802133041,31.0,32.991477966308594,582,151,1.041345457693202
4,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,40,2.0,4,674.3828828828829,706.7276595744681,0.9620084584643773,1.0081483436160148,32.00832748413086,33.569576263427734,582,151,1.0479620368674192
5,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,41,2.0,5,697.5242290748898,704.4408163265306,0.9950196325941176,1.004886157395787,32.15982437133789,35.457801818847656,582,151,1.0099159096750145
6,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,42,2.0,6,705.7445887445888,719.410358565737,1.0067459912170769,1.0262402377245983,34.0,35.41379165649414,582,151,1.0193636196991005
7,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,43,2.0,7,726.748987854251,712.0114942528736,1.0367088062904333,1.0156857437825553,35.34447479248047,37.476661682128906,582,151,0.979721342791422
8,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,44,2.0,8,734.0700389105058,730.8777777777777,1.0471522994746898,1.042598532928624,36.34217834472656,38.897117614746094,582,151,0.9956512853494662
9,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,45,2.0,9,744.1574803149606,725.0320284697509,1.0615420537250724,1.0342595604797031,37.48300552368164,39.681396484375,582,151,0.9742991875360644
10,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,46,2.0,10,753.6115384615384,738.2736486486486,1.075028285559639,1.0531487567200006,37.85041809082031,41.10907745361328,582,151,0.979647485435001
11,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,47,2.0,11,750.5992779783394,738.6960784313726,1.0707312902807142,1.0537513536043557,40.02462387084961,42.01168441772461,582,151,0.9841417386131428
12,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,48,2.0,12,770.1779359430604,732.9746031746032,1.0986602829130991,1.0455896583246986,40.99892044067383,44.204010009765625,582,151,0.9516951459757116
13,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,49,2.0,13,761.6172413793104,731.6515151515151,1.086448435919812,1.0437022707562857,42.95238876342773,45.22134399414063,582,151,0.9606551367278313
14,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,50,2.0,14,762.9177631578947,730.3125,1.0883036326977418,1.041792163109035,43.92354202270508,47.40166473388672,582,151,0.9572624144666211
15,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,51,2.0,15,758.0506329113924,714.5710306406685,1.0813606621917775,1.0193369272827653,45.51689910888672,50.2493782043457,582,151,0.9426428784793242
16,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,52,2.0,16,745.6786786786787,707.1935483870968,1.0637120460692482,1.0088129348887602,48.05105209350586,52.83879089355469,582,151,0.9483891233690945
17,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,53,2.0,17,694.6480938416422,677.8636363636364,0.9909168202418176,0.9669737598907715,49.44886779785156,55.46992874145508,582,151,0.9758374670184697
18,AKS1088-0-150,AKS1088,AKS1088_TL01_01,0,44,150,54,2.0,18,644.3690140845071,662.6819338422392,0.9191936178328248,0.9453170325179767,52.39240264892578,58.59400939941406,582,151,1.02841992609429
