,level_0,level_1,strain,time since birth [min],cdg_dh,type,cdg [a.u.],cdg_dl
0,strain,0,AKS1088,0,701.0155440414508,high cdg cell,701.0155440414508,
1,strain,1,AKS1088,5,687.8984771573604,high cdg cell,687.8984771573604,
2,strain,2,AKS1088,10,681.0507614213197,high cdg cell,681.0507614213197,
3,strain,3,AKS1088,15,680.3592233009708,high cdg cell,680.3592233009708,
4,strain,4,AKS1088,20,674.3828828828829,high cdg cell,674.3828828828829,
5,strain,5,AKS1088,25,697.5242290748898,high cdg cell,697.5242290748898,
6,strain,6,AKS1088,30,705.7445887445888,high cdg cell,705.7445887445888,
7,strain,7,AKS1088,35,726.748987854251,high cdg cell,726.748987854251,
8,strain,8,AKS1088,40,734.0700389105058,high cdg cell,734.0700389105058,
9,strain,9,AKS1088,45,744.1574803149606,high cdg cell,744.1574803149606,
10,strain,10,AKS1088,50,753.6115384615384,high cdg cell,753.6115384615384,
11,strain,11,AKS1088,55,750.5992779783394,high cdg cell,750.5992779783394,
12,strain,12,AKS1088,60,770.1779359430604,high cdg cell,770.1779359430604,
13,strain,13,AKS1088,65,761.6172413793104,high cdg cell,761.6172413793104,
14,strain,14,AKS1088,70,762.9177631578947,high cdg cell,762.9177631578947,
15,strain,15,AKS1088,75,758.0506329113924,high cdg cell,758.0506329113924,
16,strain,16,AKS1088,80,745.6786786786787,high cdg cell,745.6786786786787,
17,strain,0,AKS1088,0,713.3235294117648,high cdg cell,713.3235294117648,
18,strain,1,AKS1088,5,709.8427419354839,high cdg cell,709.8427419354839,
19,strain,2,AKS1088,10,699.5617529880478,high cdg cell,699.5617529880478,
20,strain,3,AKS1088,15,702.1908396946565,high cdg cell,702.1908396946565,
21,strain,4,AKS1088,20,700.343396226415,high cdg cell,700.343396226415,
22,strain,5,AKS1088,25,722.9563636363637,high cdg cell,722.9563636363637,
23,strain,6,AKS1088,30,738.7074074074075,high cdg cell,738.7074074074075,
24,strain,7,AKS1088,35,759.551094890511,high cdg cell,759.551094890511,
25,strain,8,AKS1088,40,752.0551724137931,high cdg cell,752.0551724137931,
26,strain,9,AKS1088,45,777.696551724138,high cdg cell,777.696551724138,
27,strain,10,AKS1088,50,774.5252525252525,high cdg cell,774.5252525252525,
28,strain,11,AKS1088,55,796.1258741258741,high cdg cell,796.1258741258741,
29,strain,12,AKS1088,60,793.940594059406,high cdg cell,793.940594059406,
30,strain,13,AKS1088,65,802.1850649350649,high cdg cell,802.1850649350649,
31,strain,14,AKS1088,70,790.1308411214953,high cdg cell,790.1308411214953,
32,strain,15,AKS1088,75,793.3712574850299,high cdg cell,793.3712574850299,
33,strain,0,AKS1088,0,829.528,high cdg cell,829.528,
34,strain,1,AKS1088,5,846.8161764705883,high cdg cell,846.8161764705883,
35,strain,2,AKS1088,10,837.3098591549295,high cdg cell,837.3098591549295,
36,strain,3,AKS1088,15,839.0063694267516,high cdg cell,839.0063694267516,
37,strain,4,AKS1088,20,849.6488095238095,high cdg cell,849.6488095238095,
38,strain,5,AKS1088,25,825.7514124293785,high cdg cell,825.7514124293785,
39,strain,6,AKS1088,30,825.0108695652174,high cdg cell,825.0108695652174,
40,strain,7,AKS1088,35,811.3118279569892,high cdg cell,811.3118279569892,
